# GRE 词汇词典
# GRE 研究生入学考试词汇
# 共 7479 条
# 格式: word|translation

ambidextrous|ambidextrous a. 两手俱利的, 搞两面派的；[医] 两手同利的
tatty|tatty a. 穿破的, 粗糙的, 不值钱的
coterminous|coterminous a. 相连的, 连接的
prehensile|prehensile a. 能抓的, 善于领会的, 贪得无厌的；[医] 抓握的, 捕捉的
perfidious|perfidious a. 不忠贞的, 背信的, 有异心的
puerile|puerile a. 孩子气的, 天真的, 未成熟的；[医] 儿童的, 幼稚的
recondite|recondite a. 深奥的, 难解的, 隐藏的
immolate|immolate vt. 为供神而宰杀, 牺牲, 杀死
depressant|depressant a. 有镇静作用的；n. 镇静剂
ossify|ossify vt. 使骨化, 使硬化, 使僵化；vi. 骨化, 硬化, 变得极端保守
sagacious|sagacious a. 睿智的, 聪明的, 贤明的, 伶俐的
crepuscular|crepuscular a. 微光的, 黄昏的, 拂晓的；[医] 黄昏的, 朦胧的
delectation|delectation n. 愉快, 欢乐
tautological|tautological a. 重复的, 赘述的
preponderant|preponderant a. 占优势的, 多数的, 主要的, 突出的
execrable|execrable a. 该咒的, 可憎恨的, 讨厌的
adumbrate|adumbrate vt. 画...的轮廓, 预示
modish|modish a. 流行的, 时髦的
seemly|seemly a. 适当的, 恰当的, 合适的, 好看的
persnickety|persnickety a. 爱挑剔的, 吹毛求疵的, 精细的
palaver|palaver n. 谈判, 交涉, 洽商, 废话, 奉承；vi. 唠叨, 拍马屁, 交涉, 用花言巧语骗人；vt. 笼络, 哄骗
sod|sod n. 草地, (铺草坪用的)草皮, 故乡；vt. 铺上草皮, 以生草土覆盖
labile|labile a. 不安定的, 易发生变化的；[医] 不稳定的, 易变的
cadge|cadge v. 行乞, 乞讨, 贩卖
wearisome|wearisome a. 使疲倦的, 使厌倦的, 乏味的
intercessor|intercessor n. 仲裁者, 调解人；[法] 调解人, 说情者, 从中调解者
agronomy|agronomy n. 农艺学, 农学
remonstrance|remonstrance n. 抗议, 忠告, 规劝；[法] 抗议, 抗辩, 规劝
effrontery|effrontery n. 厚颜无耻
ingrate|ingrate n. 忘恩者；a. 不知恩的, 忘恩的
imponderable|imponderable a. 无重量的, 无法计算的, 不可估价的；n. 无法衡量的事物
ductile|ductile a. 易延展的, 韧性的, 易教导的；[医] 延伸性的
rigmarole|rigmarole n. 冗长的废话, 繁琐费时的手续；a. 冗长的, 无条理的
stinginess|stinginess n. 吝啬
crudity|crudity n. 简陋, 粗糙, 不成熟状态
obverse|obverse n. (钱币、奖章等)正面, 主要的一面, 对立面；a. 正面的, 对应面的, 倒转的
igneous|igneous a. 火的, 似火的, 火成的
advert|advert vi. 提出看法, 引起注意, 留意；n. 广告
mendacity|mendacity n. 虚伪, 谎话, 说谎癖；[医] 谎言癖, 谎言
motility|motility n. 运动性, 自动力；[医] 能动性, 机动性, 能动力
timorous|timorous a. 胆怯的, 胆小的, 羞怯的
lave|lave vt. 沐浴, 洗；n. 剩余物
dross|dross n. 浮渣, 碎屑, 渣滓；[化] 浮渣
provident|provident a. 有先见之明的, 有远虑的, 节俭的
particularize|particularize v. 详细说明, 列举, 使特殊
befuddlement|befuddlement [医] 迷惘, 迷糊
dabbler|dabbler n. 戏水者, 浅尝者
scissor|scissor vt. 剪, 剪取, 删除, 削减；n. 剪刀
stentorian|stentorian a. 声音洪亮的
punctilious|punctilious a. 精密细心的, 一丝不苟的, 拘泥形式的
boor|boor n. 粗野的人, 不懂礼貌的人, 农民
incorporeal|incorporeal a. 无实体的, 灵魂的, 无形体的；[法] 无形体的, 非物质的, 精神的
espousal|espousal n. 拥护, 订婚, 婚礼
sere|sere a. 干枯的；n. 演替系列
interrogative|interrogative n. 疑问词, 问号；a. 疑惑的, 疑问的
anodyne|anodyne n. 止痛药, 镇痛剂；a. 止痛的
gestate|gestate vt. 孕育
apposite|apposite a. 贴切的, 合适的
warmonger|warmonger n. 战争贩子；[法] 战争贩子
elocution|elocution n. 雄辩术, 演说法
gambol|gambol n. 跳跃, 雀跃, 嬉戏；vi. 跳跃, 雀跃, 耍闹
ingress|ingress n. 进入, 入口, 准许进入；[法] 进入, 入境, 入口
dotage|dotage n. 老耄, 老迷糊, 溺爱；[医] 衰老, 老耄
astrolabe|astrolabe n. 星盘
incandescence|incandescence n. 白热, 炽热；[化] 炽热; 灼热
garble|garble vt. 断章取义, 混淆；[电] 曲解
polymath|polymath n. 博学者
dyspeptic|dyspeptic a. 消化不良的, 引起消化不良的, 患消化不良的；n. 消化不良者
sybaritic|sybaritic a. 奢侈享乐的, 耽于奢侈逸乐的, 骄奢淫逸的
countermand|countermand vt. 取消, 撤回, 下命令召回；n. 收回命令, 取消命令
cloudburst|cloudburst n. 倾盆大雨, 豪雨
draftsmanship|draftsmanship n. 制图术
libertine|libertine n. 放荡者, 玩乐者, 浪子, 自由思想家；a. 放荡的
doyen|doyen n. 老资格, 首席, 老前辈；[法] 领袖, 首席
faddish|faddish a. 趋于时尚的, 风行的, 流行的
elephantine|elephantine a. 象的, 巨大的, 粗笨的
striated|striated a. 有条纹的, 有线纹的；[医] 纹状的
augury|augury n. 预兆, 占卜
truculent|truculent a. 野蛮的, 粗暴的, 致命的, 好斗的
sepulchral|sepulchral a. 坟墓的, 埋葬的
pugilist|pugilist n. 拳击手
hedonic|hedonic a. 快乐的, 快乐论的；n. 快乐论
arrogate|arrogate vt. 没来由地把...归属于, 僭取；[法] 冒称具有, 僭取, 侵占
braggart|braggart n. 吹牛者, 自夸者；a. 吹牛的, 自夸的
scarp|scarp n. 悬崖；vt. 使成陡坡
indemnify|indemnify vt. 赔偿, 补偿, 保护, 保障；[经] 赔偿
discomfiture|discomfiture n. 失败, 狼狈, 困窘, 挫败, 败北
